filename,brand_name,class_type,alcohol_content,net_contents,beverage_class,label_width_mm
old_tom_compliant.png,OLD TOM DISTILLERY,Kentucky Straight Bourbon Whiskey,45% Alc./Vol.,750 mL,,
brand_two_lines.png,LANTERN HOLLOW DISTILLING CO.,Straight Rye Whiskey,50% Alc./Vol.,750 mL,,
shared_line_abv_net.png,GREY HERON,London Dry Gin,47% Alc./Vol.,750 mL,,
brand_twice_bottler.png,BRASS KESTREL,Straight Rye Whiskey,45% Alc./Vol.,750 mL,,
warning_title_case.png,OLD TOM DISTILLERY,Kentucky Straight Bourbon Whiskey,45% Alc./Vol.,750 mL,,
warning_title_case_low_contrast.png,OLD TOM DISTILLERY,Kentucky Straight Bourbon Whiskey,45% Alc./Vol.,750 mL,,
warning_can_cause.png,OLD TOM DISTILLERY,Kentucky Straight Bourbon Whiskey,45% Alc./Vol.,750 mL,,
warning_header_missing.png,OLD TOM DISTILLERY,Kentucky Straight Bourbon Whiskey,45% Alc./Vol.,750 mL,,
warning_absent.png,OLD TOM DISTILLERY,Kentucky Straight Bourbon Whiskey,45% Alc./Vol.,750 mL,,
abv_mismatch.png,OLD TOM DISTILLERY,Kentucky Straight Bourbon Whiskey,45% Alc./Vol.,750 mL,,
abv_proof_separate_line.png,HALVARD & PIKE,Vodka,40% Alc./Vol.,1 L,,
abv_proof_inconsistent.png,OLD TOM DISTILLERY,Kentucky Straight Bourbon Whiskey,45% Alc./Vol.,750 mL,,
abv_proof_only.png,OLD TOM DISTILLERY,Kentucky Straight Bourbon Whiskey,45% Alc./Vol.,750 mL,,
net_litres.png,OLD TOM DISTILLERY,Kentucky Straight Bourbon Whiskey,45% Alc./Vol.,750 mL,,
net_centilitres.png,OLD TOM DISTILLERY,Kentucky Straight Bourbon Whiskey,45% Alc./Vol.,750 mL,,
net_dual_units.png,OLD TOM DISTILLERY,Kentucky Straight Bourbon Whiskey,45% Alc./Vol.,750 mL,,
net_nonstandard_fill.png,OLD TOM DISTILLERY,Kentucky Straight Bourbon Whiskey,45% Alc./Vol.,730 mL,,
net_mismatch.png,OLD TOM DISTILLERY,Kentucky Straight Bourbon Whiskey,45% Alc./Vol.,750 mL,,
net_missing.png,OLD TOM DISTILLERY,Kentucky Straight Bourbon Whiskey,45% Alc./Vol.,750 mL,,
class_vodka_vs_gin.png,GREY HERON,Gin,40% Alc./Vol.,750 mL,,
class_abbreviation_ky.png,OLD TOM DISTILLERY,Kentucky Straight Bourbon Whiskey,45% Alc./Vol.,750 mL,,
brand_case_only.png,Stone's Throw,Blanco Tequila,40% Alc./Vol.,750 mL,,
brand_one_letter_off.png,HARROW CREEK,Bourbon Whiskey,43% Alc./Vol.,750 mL,,
brand_long_one_letter_off.png,OLD TOM DISTILLERY,Kentucky Straight Bourbon Whiskey,45% Alc./Vol.,750 mL,,
brand_misspelled_on_label.png,OLD TOM DISTILLERY,Kentucky Straight Bourbon Whiskey,45% Alc./Vol.,750 mL,,
class_long_one_letter_off.png,OLD TOM DISTILLERY,Kentucky Straight Bourbon Whiskey,45% Alc./Vol.,750 mL,,
degraded_low_contrast.png,OLD TOM DISTILLERY,Kentucky Straight Bourbon Whiskey,45% Alc./Vol.,750 mL,,
degraded_rotated.png,OLD TOM DISTILLERY,Kentucky Straight Bourbon Whiskey,45% Alc./Vol.,750 mL,,
degraded_noise_blur.jpg,OLD TOM DISTILLERY,Kentucky Straight Bourbon Whiskey,45% Alc./Vol.,750 mL,,
